instant;Date;Season;Holiday;Weather;Temp;Feel_Temp;Hum;Wind;Casual;Registered;cnt
1;1/01/2020;Springer;No;Mist + Cloudy;8,175849;9,090375;0,805833;10,749882;331;654;985
2;2/01/2020;Springer;No;Mist + Cloudy;9,083466;8,625733;0,696087;-16,652113;131;670;801
3;3/01/2020;Springer;No;Few clouds;1,229108;0,902035;0,437273;16,636703;120;1229;1349
4;4/01/2020;Springer;No;Few clouds;1,4;1,969734;0,590435;10,739832;108;1454;1562
5;5/01/2020;Springer;No; Partly    cloudy;2,666979;2,77569;0,436957;12,5223;82;1518;1600
6;6/01/2020;Springer;No;Clear;1,604356;2,960823;0,518261;6,0008684;88;1518;1606
7;7/01/2020;Springer;No;Mist;1,236534;1,815433;0,498696;11,304642;148;1362;1510
8;8/01/2020;Springer;No;Mist + Broken clouds;-0,245;-0,374062;0,535833;17,875868;68;891;959
9;9/01/2020;Springer;No; Partly cloudy;-1,498349;-2,539775;0,434167;24,25065;54;768;822
10;10/01/2020;Springer;No; Partly    cloudy;-0,910849;-0,908264;0,482917;14,958889;41;1280;1321
11;11/01/2020;Springer;No;Mist;-0,052723;0,998808;0,686364;8,182844;43;1220;1263
12;12/01/2020;Springer;No; Partly cloudy;0,118169;-0,457769;0,599545;20,410009;25;1137;1162
13;13/01/2020;Springer;No; Partly cloudy;-0,245;-0,908499;0,470417;20,167;38;1368;1406
14;14/01/2020;Springer;No;Few clouds;-0,43911;0,855411;0,537826;8,478716;54;1367;1421
15;15/01/2020;Springer;No;Mist + Few clouds;2,966651;3,661264;0,49875;10,583521;222;1026;1248
16;16/01/2020;Springer;No; Partly cloudy;2,888349;3,008199;0,48375;12,625011;251;953;1204
17;17/01/2020;Springer;Yes;Mist + Few clouds;0,264151;0,308237;0,5375;12,999139;117;883;1000
18;18/01/2020;Springer;No;Mist;2,183349;2,919651;0,861667;9,833925;9;674;683
19;19/01/2020;Springer;No;Mist;5,732178;6,025834;0,741739;13,957239;78;1572;1650
20;20/01/2020;Springer;No;Mist + Cloudy;4,298349;3,98735;0,538333;13,125568;83;1844;1927
21;21/01/2020;Springer;No; Partly cloudy;0,3425;-0,581849;0,457083;23,667214;75;1468;1543
22;22/01/2020;Springer;No;Clear;-5,2208712;-4,2837288;0,4;11,52199;93;888;981
23;23/01/2020;Springer;No; Partly    cloudy;-3,4634801;-3,3545623;0,436522;16,5222;150;836;986
24;24/01/2020;Springer;No;Clear;-3,4226089;-2,45729;0,491739;10,60811;86;1330;1416
25;25/01/2020;Springer;No;Mist;2,503466;3,022722;0,616957;8,696332;186;1799;1985
26;26/01/2020;Springer;No;Rain + Thunderstorm;2,2225;1,5692;0,8625;19,68795;34;472;506
27;27/01/2020;Springer;No; Partly    cloudy;1,165;2,3259;0,6875;7,627079;15;416;431
28;28/01/2020;Springer;No;Mist + Few clouds;1,563466;2,495899;0,793043;8,2611;38;1129;1167
29;29/01/2020;Springer;No; Partly cloudy;1,236534;1,969922;0,651739;9,739455;123;975;1098
30;30/01/2020;Springer;No; Partly cloudy;2,176534;3,765134;0,722174;4,9568342;140;956;1096
31;31/01/2020;Springer;No;Mist;0,499151;0,75375;0,60375;12,541864;42;1459;1501
32;1/02/2020;Springer;No;Mist;1,032178;3,02291;0,829565;3,565271;47;1313;1360
33;2/02/2020;Springer;No;Mist + Broken clouds;4,22;3,957599;0,775417;17,708636;72;1454;1526
34;3/02/2020;Springer;No; Partly cloudy;0,786979;0,360266;0,437826;18,609384;61;1489;1550
35;4/02/2020;Springer;No;Mist + Broken clouds;1,931288;2,743589;0,585217;8,565213;88;1620;1708
36;5/02/2020;Springer;No;Mist;2,966651;3,423726;0,929167;10,792293;100;905;1005
37;6/02/2020;Springer;No;Few clouds;5,434151;5,708537;0,568333;9,5006;354;1269;1623
38;7/02/2020;Springer;No; Partly    cloudy;4,768349;6,271926;0,738333;3,0423561;120;1592;1712
39;8/02/2020;Springer;No; Partly cloudy;2,379151;1,317562;0,537917;24,25065;64;1466;1530
40;9/02/2020;Springer;No;Mist + Few clouds;-1,665199;-1,218699;0,494783;12,652213;53;1552;1605
